,,,,,,,,,Application Detail Report,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Advisor :  Demo Advisor,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Belmont Farm, Belmont Farm, 1031 Wards Road, RD 1 , Christchurch",,,,,,,,,,,
,,,,,,,,,,,
"A, Pak Choi, 21.55 ha (01/01/14  To 28/02/15)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,16/08/16,224,90% SULPHUR,S: 72kg,21.17 ,80.0 kgs/ha,80.0 kgs/ha,"1,693.6 kg",,23/08/16
,,16/08/16,224,BORON 15%,B: 3kg,21.17 ,20.0 kgs/ha,20.0 kgs/ha,423.4 kg,,23/08/16
,,16/08/16,224,KIESERITE,"Mg: 24kg, S: 24kg",21.17 ,150.0 kgs/ha,150.0 kgs/ha,"3,175.5 kg",,23/08/16
,,16/08/16,224,MURATE OF POTASH,K: 75kg,21.17 ,150.0 kgs/ha,150.0 kgs/ha,"3,175.5 kg",,23/08/16
,,11/10/16,245,SUSTIAN,N: 57.5kg,21.17 ,125.0 kgs/ha,125.0 kgs/ha,"2,646.3 kg",,14/10/16
,,,,,,,,,,,
,,,Total nutrients:,"N: 107.9kg, P: 56.28kg, K: 175kg, Mg: 67.2kg, B: 3kg, S: 142kg",,,,,,,
,,,Available nutrients:,"N: 107.9kg, P: 56.28kg, K: 175kg",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"A, Ryegrass - Perennial, Trogen, 21.17 ha (01/01/17  To 01/09/18)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,27/03/17,282,DAP,"N: 27kg, P: 30.15kg, S: 1.5kg",21.17 ,150.0 kgs/ha,150.0 kgs/ha,"3,175.5 kg",,24/03/17
,,30/08/17,295,SUSTIAN,N: 46kg,21.17 ,100.0 kgs/ha,100.0 kgs/ha,"2,117.0 kg",,30/08/17
,,05/09/17,306,BORON 15%,B: 3kg,21.17 ,20.0 kgs/ha,20.0 kgs/ha,423.4 kg,,16/09/17
,,05/09/17,306,COBALT 20%,,21.17 ,1.0 kgs/ha,1.0 kgs/ha,21.2 kg,,16/09/17
,,05/09/17,306,COPPER SULPHATE 25%,Cu: 7kg,21.17 ,28.0 kgs/ha,28.0 kgs/ha,592.8 kg,,16/09/17
,,05/09/17,306,DAP,"N: 50.4kg, P: 56.28kg, S: 2.8kg",21.17 ,280.0 kgs/ha,280.0 kgs/ha,"5,927.6 kg",,16/09/17
,,05/09/17,306,DURASUL,S03: 171kg,21.17 ,180.0 kgs/ha,180.0 kgs/ha,"3,810.6 kg",,16/09/17
,,05/09/17,306,MURATE OF POTASH,K: 150kg,21.17 ,300.0 kgs/ha,300.0 kgs/ha,"6,351.0 kg",,16/09/17
,,05/09/17,306,ZINIC SULFATE 36%,Zn: 14.04kg,21.17 ,39.0 kgs/ha,39.0 kgs/ha,825.6 kg,,16/09/17
,,20/10/17,337,NRICH UREA,N: 92kg,21.17 ,200.0 kgs/ha,200.0 kgs/ha,"4,234.0 kg",,21/10/17
,,06/11/17,346,NRICH UREA,N: 92kg,21.17 ,200.0 kgs/ha,200.0 kgs/ha,"4,234.0 kg",,06/11/17
,,31/01/18,365,NRICH UREA,N: 46kg,21.17 ,100.0 kgs/ha,100.0 kgs/ha,"2,117.0 kg",,01/02/18
,,15/03/18,379,NRICH UREA,N: 46kg,21.17 ,100.0 kgs/ha,100.0 kgs/ha,"2,117.0 kg",,15/03/18
,,06/04/18,392,NRICH UREA,N: 46kg,21.17 ,100.0 kgs/ha,100.0 kgs/ha,"2,117.0 kg",,09/04/18
,,26/04/18,401,NRICH UREA,N: 36.8kg,21.17 ,80.0 kgs/ha,,"1,693.6 kg",,N/C
,,,,,,,,,,,
,,,Total nutrients:,"N: 482.2kg, P: 86.43kg, K: 150kg, SO3: 171kg, B: 3kg, S: 4.3kg, Cu: 7kg, Zn: 14.04kg",,,,,,,
,,,Available nutrients:,"N: 482.2kg, P: 86.43kg, K: 150kg",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"AA, Pastures - Grass, 18.55 ha (01/01/14  To 28/02/15)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,01/07/15,18,SUSTIAN AMMO 30N,"N: 27.9kg, S: 12.74kg",18.55 ,93.0 kgs/ha,93.0 kgs/ha,"1,725.1 kg",,01/07/15
,,,,,,,,,,,
,,,Total nutrients:,"N: 27.9kg, S: 12.74kg",,,,,,,
,,,Available nutrients:,N: 27.9kg,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"AA, Pastures - Grass, 18.55 ha (01/01/15  To 09/09/15)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,14/04/15,54,SUSTIAN,N: 46kg,18.55 ,100.0 kgs/ha,100.0 kgs/ha,"1,855.0 kg",,15/04/15
,,,,,,,,,,,
,,,Total nutrients:,N: 46kg,,,,,,,
,,,Available nutrients:,N: 46kg,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"AA, Peas, ashton, 9.36 ha (10/09/15  To 28/02/16)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,10/09/15,110,DAP,"N: 27.9kg, P: 31.16kg, S: 1.55kg",9.36 ,155.0 kgs/ha,155.0 kgs/ha,"1,450.8 kg",,19/10/15
,,10/09/15,105,DOLOMITE,"Mg: 316.1kg, Ca: 626.4kg",9.36 ,2900.0 kgs/ha,2900.0 kgs/ha,"27,144.0 kg",,20/10/15
,,10/09/15,110,SULPHURGAIN 30S,"P: 8.4kg, S: 35.4kg, Ca: 21kg",9.36 ,120.0 kgs/ha,120.0 kgs/ha,"1,123.2 kg",,19/10/15
,,19/09/15,117,LIME,Ca: 125kg,9.36 ,500.0 kgs/ha,500.0 kgs/ha,"4,680.0 kg",,16/09/15
,,,,,,,,,,,
,,,Total nutrients:,"N: 27.9kg, P: 39.56kg, Mg: 316.1kg, S: 36.95kg, Ca: 772.4kg",,,,,,,
,,,Available nutrients:,"N: 27.9kg, P: 39.56kg",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"AA, Kale, op, 9.19 ha (01/01/15  To 10/11/15)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,10/09/15,108,CROPZEAL BORON BOOST,"N: 19.8kg, P: 23.4kg, B: 0.84kg",9.19 ,120.0 kgs/ha,120.0 kgs/ha,"1,102.8 kg",,14/09/15
,,10/09/15,108,DAP,"N: 27kg, P: 30.15kg, S: 1.5kg",9.19 ,150.0 kgs/ha,150.0 kgs/ha,"1,378.5 kg",,14/09/15
,,10/09/15,106,DOLOMITE,"Mg: 316.1kg, Ca: 626.4kg",9.19 ,2900.0 kgs/ha,2900.0 kgs/ha,"26,651.0 kg",,14/09/15
,,19/09/15,116,LIME,Ca: 125kg,9.19 ,500.0 kgs/ha,500.0 kgs/ha,"4,595.0 kg",,16/09/15
,,,,,,,,,,,
,,,Total nutrients:,"N: 46.8kg, P: 53.55kg, Mg: 316.1kg, B: 0.84kg, S: 1.5kg, Ca: 751.4kg",,,,,,,
,,,Available nutrients:,"N: 46.8kg, P: 53.55kg",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"AJ, Rape, spitfire, 18.80 ha (17/11/15  To 31/07/16)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,29/03/16,173,SUSTIAN,N: 69kg,9.90 ,150.0 kgs/ha,150.0 kgs/ha,"1,485.0 kg",,30/03/16
,,,,,,,,,,,
,,,Total nutrients:,N: 69kg,,,,,,,
,,,Available nutrients:,N: 69kg,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"AJ, Barley, Sanette, 18.80 ha (01/01/16  To 20/02/17)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,15/08/16,211,90% SULPHUR,S: 72kg,9.40 ,80.0 kgs/ha,80.0 kgs/ha,752.0 kg,,22/08/16
,,15/08/16,212,90% SULPHUR,S: 81kg,9.40 ,90.0 kgs/ha,90.0 kgs/ha,846.0 kg,,22/08/16
,,15/08/16,211,BORON 15%,B: 2.55kg,9.40 ,17.0 kgs/ha,17.0 kgs/ha,159.8 kg,,22/08/16
,,15/08/16,212,BORON 15%,B: 3kg,9.40 ,20.0 kgs/ha,20.0 kgs/ha,188.0 kg,,22/08/16
,,15/08/16,211,DAP,"N: 57.6kg, P: 64.32kg, S: 3.2kg",9.40 ,320.0 kgs/ha,320.0 kgs/ha,"3,008.0 kg",,22/08/16
,,15/08/16,212,DAP,"N: 27kg, P: 30.15kg, S: 1.5kg",9.40 ,150.0 kgs/ha,150.0 kgs/ha,"1,410.0 kg",,22/08/16
,,15/08/16,211,MURATE OF POTASH,K: 100kg,9.40 ,200.0 kgs/ha,200.0 kgs/ha,"1,880.0 kg",,22/08/16
,,15/08/16,212,MURATE OF POTASH,K: 175kg,9.40 ,350.0 kgs/ha,350.0 kgs/ha,"3,290.0 kg",,22/08/16
,,15/08/16,212,SUSTIAN,N: 32.2kg,9.40 ,70.0 kgs/ha,70.0 kgs/ha,658.0 kg,,22/08/16
,,15/08/16,211,ZINIC SULFATE 36%,Zn: 14.04kg,9.40 ,39.0 kgs/ha,39.0 kgs/ha,366.6 kg,,22/08/16
,,15/08/16,212,ZINIC SULFATE 36%,Zn: 12.96kg,9.40 ,36.0 kgs/ha,36.0 kgs/ha,338.4 kg,,22/08/16
,,26/09/16,242,SUSTIAN,N: 138kg,18.80 ,300.0 kgs/ha,300.0 kgs/ha,"5,640.0 kg",,24/09/16
,,,,,,,,,,,
,,,Total nutrients:,"N: 254.8kg, P: 94.47kg, K: 275kg, B: 5.55kg, S: 157.7kg, Zn: 27kg",,,,,,,
,,,Available nutrients:,"N: 254.8kg, P: 94.47kg, K: 275kg",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"AJ, Chard (Red), 18.80 ha (01/03/17  To 28/02/18)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,24/02/17,274,90% SULPHUR,S: 22.5kg,9.40 ,25.0 kgs/ha,25.0 kgs/ha,235.0 kg,,27/02/17
,,24/02/17,275,90% SULPHUR,S: 22.5kg,9.40 ,25.0 kgs/ha,25.0 kgs/ha,235.0 kg,,27/02/17
,,24/02/17,274,COPPER SULPHATE 25%,Cu: 9.75kg,9.40 ,39.0 kgs/ha,39.0 kgs/ha,366.6 kg,,27/02/17
,,24/02/17,275,COPPER SULPHATE 25%,Cu: 9.75kg,9.40 ,39.0 kgs/ha,39.0 kgs/ha,366.6 kg,,27/02/17
,,24/02/17,274,DAP,"N: 72kg, P: 80.4kg, S: 4kg",9.40 ,400.0 kgs/ha,400.0 kgs/ha,"3,760.0 kg",,27/02/17
,,24/02/17,275,DAP,"N: 50.4kg, P: 56.28kg, S: 2.8kg",9.40 ,280.0 kgs/ha,280.0 kgs/ha,"2,632.0 kg",,27/02/17
,,24/02/17,274,KIESERITE,"Mg: 43.2kg, S: 43.2kg",9.40 ,270.0 kgs/ha,270.0 kgs/ha,"2,538.0 kg",,27/02/17
,,24/02/17,275,KIESERITE,"Mg: 43.2kg, S: 43.2kg",9.40 ,270.0 kgs/ha,270.0 kgs/ha,"2,538.0 kg",,27/02/17
,,24/02/17,274,MANGANESE SULPHATE 28%,Mn: 61.6kg,9.40 ,220.0 kgs/ha,220.0 kgs/ha,"2,068.0 kg",,27/02/17
,,24/02/17,275,MANGANESE SULPHATE 28%,Mn: 61.6kg,9.40 ,220.0 kgs/ha,220.0 kgs/ha,"2,068.0 kg",,27/02/17
,,24/02/17,274,MURATE OF POTASH,K: 100kg,9.40 ,200.0 kgs/ha,200.0 kgs/ha,"1,880.0 kg",,27/02/17
,,24/02/17,274,ZINIC SULFATE 36%,Zn: 4.32kg,9.40 ,12.0 kgs/ha,12.0 kgs/ha,112.8 kg,,27/02/17
,,24/02/17,275,ZINIC SULFATE 36%,Zn: 4.68kg,9.40 ,13.0 kgs/ha,13.0 kgs/ha,122.2 kg,,27/02/17
,,30/08/17,294,90% SULPHUR,S: 45kg,18.80 ,50.0 kgs/ha,50.0 kgs/ha,940.0 kg,,30/08/17
,,30/08/17,294,BORON 15%,B: 3kg,18.80 ,20.0 kgs/ha,20.0 kgs/ha,376.0 kg,,30/08/17
,,30/08/17,294,DAP,"N: 27kg, P: 30.15kg, S: 1.5kg",18.80 ,150.0 kgs/ha,150.0 kgs/ha,"2,820.0 kg",,30/08/17
,,24/09/17,329,NRICH UREA,N: 71.3kg,18.80 ,150.0 kgs/ha,155.0 kgs/ha,"2,914.0 kg",,24/09/17
,,06/11/17,347,NRICH UREA,N: 23kg,18.80 ,50.0 kgs/ha,50.0 kgs/ha,940.0 kg,,07/11/17
,,,,,,,,,,,
,,,Total nutrients:,"N: 243.7kg, P: 166.83kg, K: 100kg, Mg: 86.4kg, B: 3kg, S: 184.7kg, Mn: 123.2kg, Cu: 19.5kg, Zn: 9kg",,,,,,,
,,,Available nutrients:,"N: 243.7kg, P: 166.83kg, K: 100kg",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"B, Peas, ashton, 22.07 ha (01/01/14  To 28/02/15)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,06/10/14,13,BORON 15%,B: 1.5kg,22.07 ,10.0 kgs/ha,10.0 kgs/ha,220.7 kg,,06/10/14
,,06/10/14,13,SUULPHURGAIN 15S,"P: 29.24kg, S: 50.32kg, Ca: 71.4kg",22.07 ,340.0 kgs/ha,340.0 kgs/ha,"7,503.8 kg",,06/10/14
,,,,,,,,,,,
,,,Total nutrients:,"P: 29.24kg, B: 1.5kg, S: 50.32kg, Ca: 71.4kg",,,,,,,
,,,Available nutrients:,P: 29.24kg,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"B, Rye, Rahu, 20.42 ha (26/01/15  To 18/09/15)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,09/04/15,47,CROPZEAL 16N,"N: 30.8kg, P: 16kg, K: 20kg, S: 19.2kg",20.42 ,200.0 kgs/ha,200.0 kgs/ha,"4,084.0 kg",,13/01/15
,,01/07/15,68,SUSTIAN,N: 69kg,20.42 ,100.0 kgs/ha,150.0 kgs/ha,"3,063.0 kg",,24/03/15
,,03/08/15,73,DOLOMITE,"Mg: 272.5kg, Ca: 540kg",20.42 ,2500.0 kgs/ha,2500.0 kgs/ha,"51,050.0 kg",,28/09/15
,,03/08/15,77,LIME,Ca: 250kg,20.42 ,1000.0 kgs/ha,1000.0 kgs/ha,"20,420.0 kg",,28/09/15
,,,,,,,,,,,
,,,Total nutrients:,"N: 99.8kg, P: 16kg, K: 20kg, Mg: 272.5kg, S: 19.2kg, Ca: 790kg",,,,,,,
,,,Available nutrients:,"N: 99.8kg, P: 16kg, K: 20kg",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"B, Pak Choi, 20.42 ha (18/09/15  To 22/01/15)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,28/09/15,130,BORON 15%,B: 2.25kg,20.42 ,15.0 kgs/ha,15.0 kgs/ha,306.3 kg,,29/09/15
,,28/09/15,130,CROPZEAL 16N,"N: 40.04kg, P: 20.8kg, K: 26kg, S: 24.96kg",20.42 ,260.0 kgs/ha,260.0 kgs/ha,"5,309.2 kg",,29/09/15
,,20/10/15,140,SUSTIAN,N: 69kg,20.42 ,150.0 kgs/ha,150.0 kgs/ha,"3,063.0 kg",,20/10/15
,,09/11/15,147,SUSTIAN,N: 46kg,20.42 ,100.0 kgs/ha,100.0 kgs/ha,"2,042.0 kg",,11/11/15
,,,,,,,,,,,
,,,Total nutrients:,"N: 155.04kg, P: 20.8kg, K: 26kg, B: 2.25kg, S: 24.96kg",,,,,,,
,,,Available nutrients:,"N: 155.04kg, P: 20.8kg, K: 26kg",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"B, Clover, 20.42 ha (18/02/16  To 28/02/17)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,18/02/16,166,DAP,"N: 50.4kg, P: 56.28kg, S: 2.8kg",20.42 ,280.0 kgs/ha,280.0 kgs/ha,"5,717.6 kg",,02/03/16
,,18/02/16,166,MURATE OF POTASH,K: 125kg,20.42 ,250.0 kgs/ha,250.0 kgs/ha,"5,105.0 kg",,02/03/16
,,18/02/16,166,ZINIC SULFATE 36%,Zn: 14.04kg,20.42 ,39.0 kgs/ha,39.0 kgs/ha,796.4 kg,,02/03/16
,,02/08/16,198,90% SULPHUR,S: 72kg,20.42 ,80.0 kgs/ha,80.0 kgs/ha,"1,633.6 kg",,15/08/16
,,02/08/16,198,BORON 15%,B: 3kg,20.42 ,20.0 kgs/ha,20.0 kgs/ha,408.4 kg,,15/08/16
,,02/08/16,198,DAP,"N: 18kg, P: 20.1kg, S: 1kg",20.42 ,100.0 kgs/ha,100.0 kgs/ha,"2,042.0 kg",,15/08/16
,,02/08/16,198,MURATE OF POTASH,K: 50kg,20.42 ,100.0 kgs/ha,100.0 kgs/ha,"2,042.0 kg",,15/08/16
,,02/08/17,292,SUSTIAN AMMO 30N,"N: 30kg, S: 13.7kg",20.42 ,100.0 kgs/ha,100.0 kgs/ha,"2,042.0 kg",,02/08/17
,,05/09/17,305,BORON 15%,B: 3kg,20.42 ,20.0 kgs/ha,20.0 kgs/ha,408.4 kg,,14/09/17
,,05/09/17,305,DAP,"N: 50.4kg, P: 56.28kg, S: 2.8kg",20.42 ,280.0 kgs/ha,280.0 kgs/ha,"5,717.6 kg",,14/09/17
,,05/09/17,305,DURASUL,S03: 95kg,20.42 ,100.0 kgs/ha,100.0 kgs/ha,"2,042.0 kg",,14/09/17
,,05/09/17,305,MURATE OF POTASH,K: 100kg,20.42 ,200.0 kgs/ha,200.0 kgs/ha,"4,084.0 kg",,14/09/17
,,,,,,,,,,,
,,,Total nutrients:,"N: 148.8kg, P: 132.66kg, K: 275kg, SO3: 95kg, B: 6kg, S: 92.3kg, Zn: 14.04kg",,,,,,,
,,,Available nutrients:,"N: 148.8kg, P: 132.66kg, K: 275kg",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"B, Pastures, abber bealy clover , 20.42 ha (28/02/17  To 01/12/18)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,20/10/17,338,NRICH UREA,N: 46kg,20.42 ,100.0 kgs/ha,100.0 kgs/ha,"2,042.0 kg",,21/10/17
,,11/01/18,359,NRICH UREA,N: 36.8kg,20.42 ,80.0 kgs/ha,80.0 kgs/ha,"1,633.6 kg",,12/01/18
,,15/03/18,378,NRICH UREA,N: 46kg,20.42 ,100.0 kgs/ha,100.0 kgs/ha,"2,042.0 kg",,15/03/18
,,,,,,,,,,,
,,,Total nutrients:,N: 128.8kg,,,,,,,
,,,Available nutrients:,N: 128.8kg,,,,,,,
