Field Name,Crop,Crop Area,Activity Date,Activity start time,Activity end time,Operation,Related Plan No,Product,Harvest Interval,Rate,Water Volume,Treated Area,Wind Speed,Wind Direction,Temp,Humidity,Operator,Machine,Reason
D,Plantains,11.1,24/10/2019,8:59,9:30,Fertilising,,Urea,,100.000 kgs/ha,0.00 lts/ha,11.10 ha,5 kph,SW,10 °C,70%,,,
D,Plantains,11.1,11/11/2019,10:00,10:00,Fertilising #523,523,Urea,,80.000 kgs/ha,0.00 lts/ha,11.10 ha,_,_,_,_,Belmont Farm,RB 25,
D,Plantains,11.1,6/03/2020,11:45,12:30,Fertilising,,Urea,,120.000 kgs/ha,0.00 lts/ha,11.10 ha,10 kph,NE,16 °C,58%,,,
EE,Rape,19,28/02/2020,8:30,9:30,Fertilising #629,629,Urea,,100.000 kgs/ha,0.00 lts/ha,19.00 ha,18 kph,NW,17 °C,68%,Belmont Farm,RB 25,
EE,Rape,19,7/03/2020,10:45,11:10,Fertilising #640,640,Urea,,150.000 kgs/ha,0.00 lts/ha,19.00 ha,10 kph,NW,17 °C,47%,Belmont Farm,RB 25,
EE,Rape,19,7/04/2020,11:10,11:36,Fertilising #657,657,Urea,,150.000 kgs/ha,0.00 lts/ha,19.00 ha,13 kph,NW,17 °C,63%,Belmont Farm,K85,
EE,Rape,19,7/04/2020,11:10,11:36,Fertilising #657,657,Boron 15%,,40.000 kgs/ha,0.00 lts/ha,19.00 ha,13 kph,NW,17 °C,63%,Belmont Farm,K85,
EE,Barley,18.99,9/09/2019,0:00,0:00,Fertilising #429,429,Dolomite (Dol),,"1,800.000 kgs/ha",0.00 lts/ha,18.99 ha,_,_,_,_,Belmont Farm,K85,
EE,Barley,18.99,9/09/2019,0:00,0:00,Fertilising #429,429,Lime Springfield,,"1,000.000 kgs/ha",0.00 lts/ha,18.99 ha,_,_,_,_,Belmont Farm,K85,
EE,Barley,18.99,10/09/2019,0:00,0:00,Fertilising,,DAP,,300.000 kgs/ha,0.00 lts/ha,18.99 ha,_,_,_,_,,,
EE,Barley,18.99,10/09/2019,0:00,0:00,Fertilising,,Sulfate of Ammonia-Black,,300.000 kgs/ha,0.00 lts/ha,18.99 ha,_,_,_,_,,,
EE,Barley,18.99,22/10/2019,18:10,18:10,Fertilising #491,491,Urea,,150.000 kgs/ha,0.00 lts/ha,18.99 ha,_,_,_,_,Belmont Farm,K85,
FF,Spinach,13.49,9/07/2019,13:00,16:00,Fertilising #368,368,Lime Springfield,,"1,000.000 kgs/ha",0.00 lts/ha,13.49 ha,7 kph,E,13 °C,53%,Belmont Farm,K85,
FF,Spinach,13.49,6/08/2019,13:31,13:31,Fertilising #395,395,DAP,,280.000 kgs/ha,0.00 lts/ha,13.49 ha,_,_,_,_,Belmont Farm,K85,
FF,Spinach,13.49,6/08/2019,13:31,13:31,Fertilising #395,395,SulfurGain Pure 90%,,50.000 kgs/ha,0.00 lts/ha,13.49 ha,_,_,_,_,Belmont Farm,K85,
FF,Spinach,13.49,6/08/2019,13:31,13:31,Fertilising #395,395,Boron 15%,,20.000 kgs/ha,0.00 lts/ha,13.49 ha,_,_,_,_,Belmont Farm,K85,
FF,Spinach,13.49,6/08/2019,13:31,13:31,Fertilising #395,395,Zinic 23%,,35.000 kgs/ha,0.00 lts/ha,13.49 ha,_,_,_,_,Belmont Farm,K85,
FF,Spinach,13.49,22/11/2019,9:00,10:00,Fertilising,,Sulfate of Ammonia-Black,,200.000 kgs/ha,0.00 lts/ha,13.49 ha,4 kph,NW,19 °C,46%,,,
GR,Oats,17.43,10/05/2019,15:30,15:30,Fertilising #330,330,Dolomite (Dol),,"1,050.000 kgs/ha",0.00 lts/ha,8.70 ha,4 kph,NW,20 °C,65%,Belmont Farm,K85,
GR,Oats,17.43,10/05/2019,15:30,17:00,Fertilising #331,331,Dolomite (Dol),,"1,350.000 kgs/ha",0.00 lts/ha,8.70 ha,4 kph,NW,4 °C,65%,Belmont Farm,K85,
GR,Oats,17.43,11/05/2019,9:00,9:57,Fertilising #332,332,Lime Springfield,,800.000 kgs/ha,0.00 lts/ha,8.70 ha,2 kph,NW,11 °C,95%,Belmont Farm,K85,
GR,Oats,17.43,14/05/2019,11:00,12:30,Fertilising #333,333,Muriate of Potash,,250.000 kgs/ha,0.00 lts/ha,17.43 ha,8 kph,NW,14 °C,56%,Belmont Farm,K85,
GR,Oats,17.43,23/08/2019,13:30,14:00,Fertilising #417,417,DAP,,300.000 kgs/ha,0.00 lts/ha,17.43 ha,5 kph,NW,15 °C,60%,Belmont Farm,K85,
GR,Oats,17.43,26/09/2019,14:07,14:07,Fertilising #450,450,Sulfate of Ammonia-Black,,300.000 kgs/ha,0.00 lts/ha,17.43 ha,_,_,_,_,Belmont Farm,RB 25,
GR,Oats,17.43,3/10/2019,15:00,15:00,Fertilising #467,467,Urea,,150.000 kgs/ha,0.00 lts/ha,17.43 ha,_,_,_,_,Belmont Farm,RB 25,
K,Wheat,21.86,24/04/2019,13:30,17:30,Fertilising #317,317,Dolomite (Dol),,"1,750.000 kgs/ha",0.00 lts/ha,21.86 ha,6 kph,NE,16 °C,60%,Belmont Farm,RB 25,
K,Wheat,21.86,26/04/2019,9:00,12:31,Fertilising #318,318,Lime Springfield,,"1,000.000 kgs/ha",0.00 lts/ha,22.33 ha,11 kph,N,17 °C,54%,Belmont Farm,RB 25,
K,Wheat,21.86,23/08/2019,0:00,0:00,Fertilising #418,418,Sulfate of Ammonia-Black,,300.000 kgs/ha,0.00 lts/ha,21.86 ha,_,_,_,_,Belmont Farm,K85,
K,Wheat,21.86,26/09/2019,14:08,14:08,Fertilising #449,449,DAP,,300.000 kgs/ha,0.00 lts/ha,21.86 ha,_,_,_,_,Belmont Farm,K85,
K,Wheat,21.86,3/10/2019,13:00,13:00,Fertilising #468,468,Urea,,200.000 kgs/ha,0.00 lts/ha,21.86 ha,_,_,_,_,Belmont Farm,RB 25,
K,Wheat,21.86,17/10/2019,14:22,14:22,Fertilising #484,484,Urea,,150.000 kgs/ha,0.00 lts/ha,21.86 ha,_,_,_,_,Belmont Farm,RB 25,
