Name,Date,Area(ha),Product,Rate,N(kg/ha),P(kg/ha),K(kg/ha),S(kg/ha),Ca(kg/ha),Mg(kg/ha)
11,27/10/2019,7.1,Urea,86,40,-,-,-,-,-
,4/11/2019,9.8,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,25/12/2019,9.7,DAP,29,5,6,-,-,-,-
,17/08/2020,9.9,Ammo 31,116,35,-,-,16,-,-
,Area weighted total,,,,83,6,-,16,-,-
11G,22/11/2019,2.8,Ammo 31,190,58,-,-,26,-,-
,2/12/2019,2.8,Urea,177,82,-,-,-,-,-
,20/08/2020,2.9,Ammo 31,112,34,-,-,16,-,-
,Area weighted total,,,,168,-,-,41,-,-
12,11/10/2019,9.3,Urea,98,45,-,-,-,-,-
,4/11/2019,9.4,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,5/11/2019,9.1,Urea,90,41,-,-,-,-,-
,26/11/2019,9,DAP,28,5,6,-,-,-,-
,3/09/2020,9.3,Ammo 31,119,36,-,-,16,-,-
,Area weighted total,,,,140,5,-,16,-,-
12G,2/10/2019,4.1,Ammo 31,141,43,-,-,19,-,-
,22/11/2019,0.1,Ammo 31,183,56,-,-,25,-,-
,2/12/2019,0.1,Urea,105,48,-,-,-,-,-
,30/12/2019,0.2,Urea,30,14,-,-,-,-,-
,8/01/2020,3.9,AmSulph Granular,204,41,-,-,47,-,-
,5/03/2020,0.3,N - PROTECT,106,49,-,-,-,-,-
,9/04/2020,0.5,Urea,113,52,-,-,-,-,-
,3/05/2020,0.5,Urea,95,44,-,-,-,-,-
,Area weighted total,,,,91,-,-,59,-,-
13,4/11/2019,9.4,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,31/12/2019,9,Urea,101,47,-,-,-,-,-
,3/09/2020,9.2,Ammo 31,111,34,-,-,15,-,-
,Area weighted total,,,,92,-,-,15,-,-
13G,22/11/2019,3.1,Urea,32,15,-,-,-,-,-
,2/12/2019,2,Urea,121,56,-,-,-,-,-
,6/12/2019,2,Urea,111,51,-,-,-,-,-
,9/01/2020,3.2,Urea,140,64,-,-,-,-,-
,3/05/2020,3.2,Urea,89,41,-,-,-,-,-
,16/08/2020,3.1,DAP Mix,616 kg/ha,-,-,-,-,-,-
,19/08/2020,3.1,ag lime,2548 kg/ha,-,-,-,-,-,-
,Area weighted total,,,,92,-,-,-,-,-
14,24/10/2019,9.8,Urea,96,44,-,-,-,-,-
,4/11/2019,9.9,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,10/12/2019,9.6,DAP,30,5,6,-,-,-,-
,25/12/2019,0.8,DAP,24,4,5,-,-,-,-
,26/08/2020,9.8,Ammo 31,112,34,-,-,15,-,-
,Area weighted total,,,,97,6,-,15,-,-
14G,2/12/2019,6.1,Urea,129,59,-,-,-,-,-
,9/01/2020,4.7,Urea,149,68,-,-,-,-,-
,3/05/2020,1.5,Urea,96,44,-,-,-,-,-
,Area weighted total,,,,122,-,-,-,-,-
15,27/09/2019,7.1,AG LIME,1502,-,-,-,-,541,-
,1/10/2019,5.8,Dolomite,782,-,-,-,-,180,86
,27/10/2019,2.3,Urea,70,32,-,-,-,-,-
,4/11/2019,4.2,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,5/11/2019,7.4,Urea,81,37,-,-,-,-,-
,22/11/2019,9.2,Urea,30,14,-,-,-,-,-
,31/12/2019,8.8,Urea,98,45,-,-,-,-,-
,9/04/2020,8.9,Urea,90,41,-,-,-,-,-
,26/08/2020,9.1,Ammo 31,119,36,-,-,16,-,-
,Area weighted total,,,,175,-,-,16,524,54
15G,2/12/2019,4.5,Urea,119,55,-,-,-,-,-
,9/01/2020,4.4,Urea,138,64,-,-,-,-,-
,5/03/2020,2.2,N - PROTECT,107,49,-,-,-,-,-
,3/05/2020,2.2,Urea,98,45,-,-,-,-,-
,Area weighted total,,,,110,-,-,-,-,-
16,11/10/2019,5.8,Urea,98,45,-,-,-,-,-
,5/11/2019,5.6,Urea,80,37,-,-,-,-,-
,26/11/2019,5.5,DAP,32,6,6,-,-,-,-
,25/12/2019,5.5,DAP,29,5,6,-,-,-,-
,31/12/2019,0.2,Urea,76,35,-,-,-,-,-
,15/01/2020,5.7,Urea,32,15,-,-,-,-,-
,5/03/2020,5.7,N - PROTECT,100,46,-,-,-,-,-
,9/04/2020,5.7,Urea,96,44,-,-,-,-,-
,Area weighted total,,,,179,11,-,1,-,-
16G,5/11/2019,8.5,Urea,101,46,-,-,-,-,-
,28/12/2019,5,DAP,29,5,6,-,-,-,-
,28/12/2019,5,DAP,29,5,6,-,-,-,-
,28/01/2020,5.1,Urea,34,16,-,-,-,-,-
,5/03/2020,8.7,N - PROTECT,95,44,-,-,-,-,-
,27/03/2020,8.7,Urea,90,42,-,-,-,-,-
,3/05/2020,0.6,Urea,69,32,-,-,-,-,-
,3/09/2020,8.8,Ammo 31,117,35,-,-,16,-,-
,Area weighted total,,,,174,6,-,16,-,-
17,7/10/2019,7.6,AmSulph Granular,133,27,-,-,32,-,-
,5/11/2019,8.2,Urea,83,38,-,-,-,-,-
,26/11/2019,7.6,DAP,29,5,6,-,-,-,-
,30/12/2019,8,Urea,38,17,-,-,-,-,-
,28/01/2020,0.9,Urea,27,13,-,-,-,-,-
,5/03/2020,7.9,N - PROTECT,94,43,-,-,-,-,-
,9/04/2020,8.1,Urea,95,44,-,-,-,-,-
,23/06/2020,8.2,Urea,98,45,-,-,-,-,-
,17/08/2020,8.2,Ammo 31,111,34,-,-,15,-,-
,Area weighted total,,,,241,5,-,43,-,-
17G,16/10/2019,6.7,Urea,101,46,-,-,-,-,-
,5/11/2019,0.3,Urea,92,42,-,-,-,-,-
,22/11/2019,6.6,Urea,31,14,-,-,-,-,-
,25/12/2019,6.4,DAP,29,5,6,-,-,-,-
,5/03/2020,6.5,N - PROTECT,98,45,-,-,-,-,-
,27/03/2020,6.5,Urea,97,45,-,-,-,-,-
,23/06/2020,6.7,Urea,106,49,-,-,-,-,-
,26/08/2020,6.8,Ammo 31,119,36,-,-,16,-,-
,Area weighted total,,,,233,5,-,16,-,-
18,7/10/2019,7.9,AmSulph Granular,125,26,-,-,30,-,-
,5/11/2019,8,Urea,74,34,-,-,-,-,-
,26/11/2019,7.9,DAP,30,5,6,-,-,-,-
,30/12/2019,8.1,Urea,30,14,-,-,-,-,-
,27/03/2020,8.1,Urea,98,45,-,-,-,-,-
,17/08/2020,8.3,Ammo 31,111,34,-,-,15,-,-
