PROPERTY_ID,PROPERTY,FARM_NAME,FISCYEAR,PRODUCT_GROUP,PRODUCT,PRODUCT_GROUP_ID,PROPERTY_CITY,PROPERTY_STREET,FISCPER,FARM_TYPE,Tonnes,S,K,N,Mg,Ca,P,Effective_HA
4081462,Agriganics Ltd,Not assigned,2020,SSP,Superten,2000120020,Darfield,24 Substation Road,May-20,Not assigned,0.5,0.052,0,0,0,0.11,0.045,NaN
4081462,Agriganics Ltd,Not assigned,2020,SSP,Superten 1000kg (S/T),2000120020,Darfield,24 Substation Road,May-20,Not assigned,1,0.105,0,0,0,0.22,0.09,NaN
